H2S(WE),H2S(AE),SO2(WE),SO2(AE),CO(WE),CO(AE),VOC(WE),VOC(AE),NH3(WE),NH3(AE),MICS6814(CO),MICS6814(NH3),MICS6814(NO2),SEMEATECH(NH3),SEMEATECH(CH3SH),Class
363.882,327.085,370.696,669.161,817.712,35.434,464.486,45.439,520.022,287.779,2901.762,2794.289,3215.224,467,0,Compostagem
377.51,332.536,372.059,682.789,819.075,40.886,464.486,45.439,520.022,287.779,2904.747,2794.289,3215.224,466,0,Compostagem
369.333,320.27,369.333,669.161,813.623,35.434,464.486,45.439,520.022,287.779,2904.747,2794.289,3215.224,466,0,Compostagem
374.785,325.722,310.73,680.064,810.897,29.983,464.486,45.439,520.022,287.779,2904.747,2794.289,3215.224,465,0,Compostagem
378.873,322.996,358.43,677.338,794.543,125.382,464.486,45.439,520.022,287.779,2901.762,2794.289,3215.224,465,0,Compostagem
373.422,333.899,336.625,681.426,809.535,31.346,464.486,45.439,520.022,287.779,2904.747,2794.289,3215.224,465,0,Compostagem
370.696,332.536,344.802,671.886,823.163,31.346,464.486,45.439,520.022,287.779,2901.762,2794.289,3215.224,464,0,Compostagem
373.422,317.545,335.262,674.612,812.26,36.797,464.486,45.439,520.022,287.779,2904.747,2794.289,3215.224,464,0,Compostagem
378.873,329.81,346.165,680.064,798.632,38.16,469.534,45.439,520.022,287.779,2904.747,2797.274,3215.224,464,0,Compostagem
381.599,324.359,348.89,673.249,794.543,39.523,469.534,45.439,520.022,287.779,2904.747,2794.289,3215.224,463,0,Compostagem
369.333,328.448,348.89,681.426,829.977,34.071,464.486,45.439,520.022,287.779,2904.747,2797.274,3218.209,463,0,Compostagem
366.607,335.262,357.067,678.701,834.066,31.346,464.486,45.439,520.022,287.779,2904.747,2794.289,3215.224,462,0,Compostagem
380.236,325.722,332.536,678.701,805.446,28.62,464.486,45.439,520.022,287.779,2901.762,2794.289,3215.224,462,0,Compostagem
377.51,331.173,340.713,681.426,816.349,29.983,464.486,45.439,520.022,287.779,2904.747,2794.289,3218.209,462,0,Compostagem
369.333,331.173,359.793,685.515,801.357,31.346,469.534,45.439,520.022,287.779,2901.762,2794.289,3215.224,461,0,Compostagem
376.147,320.27,370.696,680.064,799.995,35.434,469.534,45.439,520.022,287.779,2901.762,2794.289,3215.224,461,0,Compostagem
366.607,328.448,374.785,673.249,832.703,0.0,464.486,45.439,520.022,287.779,2901.762,2794.289,3215.224,461,0,Compostagem
374.785,332.536,342.076,678.701,810.897,39.523,464.486,45.439,520.022,287.779,2901.762,2791.304,3215.224,460,0,Compostagem
365.245,331.173,365.245,678.701,834.066,36.797,469.534,45.439,520.022,287.779,2904.747,2794.289,3215.224,460,0,Compostagem
384.324,324.359,335.262,674.612,794.543,31.346,459.437,45.439,520.022,287.779,2901.762,2794.289,3215.224,460,0,Compostagem
369.333,340.713,363.882,671.886,832.703,34.071,464.486,50.488,520.022,287.779,2901.762,2794.289,3215.224,459,0,Compostagem
376.147,332.536,354.342,680.064,790.455,35.434,464.486,45.439,520.022,287.779,2904.747,2794.289,3215.224,459,0,Compostagem
373.422,324.359,342.076,670.524,793.18,29.983,464.486,45.439,520.022,287.779,2901.762,2791.304,3215.224,458,0,Compostagem
