H2S(WE),H2S(AE),SO2(WE),SO2(AE),CO(WE),CO(AE),VOC(WE),VOC(AE),NH3(WE),NH3(AE),MICS6814(CO),MICS6814(NH3),MICS6814(NO2),SEMEATECH(NH3),SEMEATECH(CH3SH),Class
457.919,324.359,329.81,662.346,846.332,19.08,504.876,90.878,666.436,287.779,2815.187,2334.545,3137.604,2,6,Racao
463.37,327.085,367.97,658.258,832.703,17.717,509.924,90.878,676.533,287.779,2812.201,2328.574,3137.604,6,1,Racao
457.919,329.81,312.093,658.258,843.606,5.451,509.924,90.878,676.533,287.779,2812.201,2322.604,3137.604,6,1,Racao
453.83,314.819,333.899,659.621,868.137,12.266,509.924,90.878,681.582,287.779,2812.201,2319.618,3137.604,1,1,Racao
462.007,331.173,359.793,660.984,828.614,2.726,514.973,90.878,681.582,287.779,2809.216,2313.647,3134.619,1,8,Racao
460.644,324.359,321.633,662.346,859.96,5.451,514.973,90.878,676.533,287.779,2809.216,2310.662,3134.619,1,1,Racao
460.644,325.722,357.067,656.895,835.429,4.089,514.973,85.829,686.631,287.779,2809.216,2307.677,3134.619,1,4,Racao
459.281,325.722,340.713,654.169,836.792,5.451,514.973,85.829,681.582,287.779,2806.23,2304.691,3134.619,1,8,Racao
453.83,316.182,333.899,665.072,857.234,0.0,520.022,90.878,691.68,287.779,2806.23,2298.721,3134.619,1,7,Racao
457.919,318.908,333.899,659.621,866.774,14.991,525.071,85.829,686.631,287.779,2806.23,2295.735,3131.634,4,7,Racao
462.007,449.741,359.793,654.169,866.774,14.991,530.119,85.829,686.631,287.779,2803.245,2292.75,3131.634,4,7,Racao
455.193,324.359,361.156,654.169,677.338,16.354,530.119,85.829,686.631,287.779,2803.245,2289.765,3131.634,7,7,Racao
468.821,322.996,362.519,667.798,883.129,10.903,525.071,85.829,696.728,287.779,2803.245,2286.779,3131.634,7,6,Racao
462.007,320.27,331.173,663.709,883.129,4.089,530.119,85.829,696.728,287.779,2803.245,2283.794,3131.634,7,2,Racao
460.644,325.722,369.333,659.621,854.509,13.629,530.119,85.829,696.728,287.779,2800.26,2277.823,3128.648,7,2,Racao
467.458,332.536,346.165,655.532,876.314,5.451,535.168,85.829,696.728,287.779,2800.26,2274.838,3128.648,6,5,Racao
462.007,325.722,348.89,658.258,851.783,8.177,535.168,85.829,701.777,287.779,2797.274,2268.867,3128.648,6,5,Racao
457.919,313.456,332.536,662.346,855.872,13.629,535.168,85.829,701.777,287.779,2797.274,2268.867,3128.648,2,5,Racao
456.556,313.456,339.35,656.895,862.686,5.451,540.217,85.829,696.728,287.779,2797.274,2265.882,3128.648,5,5,Racao
459.281,318.908,337.987,666.435,894.031,13.629,545.266,85.829,701.777,287.779,2797.274,2262.896,3125.663,5,4,Racao
468.821,320.27,406.13,682.789,877.677,2.726,545.266,90.878,706.826,287.779,2797.274,2259.911,3125.663,5,8,Racao
470.184,316.182,344.802,655.532,891.306,6.814,550.314,90.878,706.826,287.779,2797.274,2256.926,3125.663,5,1,Racao
460.644,320.27,328.448,665.072,883.129,13.629,555.363,90.878,711.875,287.779,2794.289,2253.94,3125.663,4,1,Racao
475.636,332.536,350.253,662.346,891.306,13.629,550.314,80.78,711.875,287.779,2794.289,2250.955,3125.663,4,3,Racao
471.547,316.182,363.882,670.524,899.483,16.354,550.314,85.829,711.875,287.779,2791.304,2247.97,3125.663,1,3,Racao
418.396,322.996,331.173,659.621,1003.06,5.451,550.314,85.829,711.875,287.779,2791.304,2244.984,3122.678,1,3,Racao
471.547,329.81,376.147,677.338,899.483,5.451,555.363,85.829,711.875,287.779,2791.304,2241.999,3122.678,3,2,Racao
466.096,324.359,370.696,656.895,881.766,10.903,560.412,85.829,711.875,287.779,2791.304,2239.014,3122.678,3,2,Racao
467.458,318.908,348.89,669.161,903.571,1.363,560.412,85.829,716.923,287.779,2791.304,2236.028,3122.678,3,6,Racao
468.821,313.456,325.722,669.161,883.129,2.726,560.412,85.829,721.972,287.779,2788.318,2233.043,3122.678,3,6,Racao
472.91,310.73,355.705,663.709,869.5,8.177,560.412,80.78,721.972,287.779,2788.318,2230.058,3122.678,2,1,Racao
468.821,320.27,365.245,656.895,872.226,6.814,565.461,85.829,721.972,287.779,2788.318,2227.072,3119.692,2,1,Racao
466.096,320.27,370.696,674.612,883.129,12.266,565.461,85.829,727.021,287.779,2785.333,2224.087,3119.692,6,1,Racao
463.37,313.456,347.527,659.621,872.226,0.0,570.509,85.829,727.021,287.779,2785.333,2224.087,3119.692,6,1,Racao
463.37,314.819,358.43,665.072,868.137,9.54,570.509,85.829,727.021,287.779,2785.333,2218.116,3119.692,1,1,Racao
464.733,310.73,328.448,659.621,885.854,2.726,570.509,80.78,737.118,287.779,2785.333,2218.116,3119.692,1,1,Racao
464.733,312.093,362.519,656.895,881.766,12.266,570.509,80.78,732.07,287.779,2782.348,2215.131,3119.692,1,4,Racao
470.184,313.456,362.519,464.733,880.403,5.451,575.558,85.829,732.07,287.779,2782.348,2212.146,3119.692,1,4,Racao
464.733,320.27,333.899,658.258,919.926,2.726,575.558,85.829,732.07,287.779,2782.348,2209.16,3116.707,1,7,Racao
470.184,318.908,362.519,667.798,880.403,2.726,580.607,85.829,732.07,287.779,2782.348,2206.175,3116.707,4,7,Racao
475.636,312.093,339.35,660.984,898.12,0.0,580.607,85.829,737.118,287.779,2779.362,2203.189,3116.707,4,7,Racao
459.281,312.093,328.448,666.435,902.209,1.363,585.656,80.78,737.118,287.779,2779.362,2200.204,3116.707,7,6,Racao
478.361,316.182,324.359,665.072,898.12,0.0,585.656,85.829,742.167,287.779,2779.362,2200.204,3116.707,7,6,Racao
471.547,318.908,366.607,673.249,900.846,1.363,585.656,85.829,742.167,287.779,2779.362,2197.219,3116.707,7,2,Racao
474.273,316.182,327.085,665.072,910.386,1.363,585.656,80.78,747.216,287.779,2779.362,2194.233,3116.707,7,2,Racao
467.458,321.633,339.35,662.346,922.651,9.54,590.705,85.829,747.216,287.779,2776.377,2191.248,3116.707,6,5,Racao
472.91,322.996,324.359,663.709,909.023,0.0,590.705,80.78,747.216,282.73,2776.377,2188.263,3113.722,6,5,Racao
474.273,322.996,339.35,665.072,926.74,10.903,595.753,80.78,747.216,287.779,2776.377,2188.263,3113.722,2,5,Racao
464.733,313.456,363.882,659.621,896.757,10.903,595.753,80.78,747.216,287.779,2776.377,2185.277,3113.722,2,5,Racao
460.644,320.27,397.953,631.001,915.837,8.177,595.753,80.78,752.265,287.779,2776.377,2182.292,3113.722,5,4,Racao
474.273,321.633,329.81,654.169,964.9,5.451,600.802,85.829,757.313,287.779,2773.392,2182.292,3113.722,5,1,Racao
475.636,324.359,365.245,659.621,913.111,4.089,600.802,85.829,752.265,287.779,2773.392,2179.307,3113.722,5,1,Racao
463.37,314.819,335.262,614.647,921.288,8.177,600.802,80.78,752.265,287.779,2773.392,2179.307,3110.736,4,3,Racao
464.733,321.633,365.245,652.806,910.386,10.903,600.802,85.829,757.313,287.779,2773.392,2176.321,3113.722,4,3,Racao
479.724,325.722,327.085,662.346,936.28,0.0,605.851,85.829,757.313,287.779,2773.392,2173.336,3110.736,1,3,Racao
468.821,316.182,342.076,665.072,943.094,6.814,605.851,80.78,762.362,287.779,2773.392,2173.336,3110.736,1,3,Racao
468.821,320.27,354.342,667.798,939.006,8.177,610.9,80.78,757.313,287.779,2773.392,2170.351,3110.736,3,2,Racao
481.087,314.819,333.899,660.984,925.377,0.0,605.851,80.78,767.411,287.779,2773.392,2167.365,3110.736,3,2,Racao
472.91,314.819,339.35,666.435,952.634,0.0,615.948,80.78,762.362,287.779,2770.406,2167.365,3110.736,3,6,Racao
475.636,312.093,333.899,659.621,918.563,0.0,615.948,80.78,767.411,287.779,2770.406,2167.365,3110.736,3,6,Racao
463.37,312.093,346.165,671.886,952.634,1.363,615.948,80.78,767.411,287.779,2770.406,2164.38,3110.736,2,1,Racao
464.733,310.73,332.536,660.984,944.457,0.0,615.948,80.78,767.411,287.779,2770.406,2161.395,3110.736,2,1,Racao
467.458,321.633,354.342,660.984,915.837,0.0,620.997,80.78,767.411,287.779,2767.421,2158.409,3107.751,6,1,Racao
467.458,314.819,370.696,667.798,925.377,0.0,620.997,80.78,772.46,287.779,2770.406,2158.409,3107.751,6,1,Racao
470.184,318.908,373.422,656.895,930.828,5.451,620.997,80.78,772.46,287.779,2767.421,2155.424,3107.751,1,1,Racao
472.91,322.996,332.536,658.258,924.014,8.177,626.046,80.78,772.46,287.779,2767.421,2155.424,3107.751,1,4,Racao
475.636,317.545,351.616,655.532,929.466,0.0,626.046,80.78,777.508,287.779,2767.421,2152.438,3107.751,1,4,Racao
